InvoiceID,ShirtID,SellingPrice,Quantity
1,16,44.4,1
1,2,1.7999999999999998,3
1,33,3.5,1
1,22,7.2,1
1,33,3.5,1
1,13,0.9,2
1,41,60.0,3
1,13,0.9,1
1,31,1.2,4
1,41,60.0,4
1,31,1.2,2
1,43,7.0,3
1,3,6.3,3
1,14,1.4,4
1,24,3.2,2
2,42,5.4,1
2,40,3.6,1
2,36,6.6,2
2,11,30.599999999999998,4
2,13,0.9,4
2,19,62.99999999999999,4
2,19,62.99999999999999,2
2,33,3.5,5
2,21,4.2,2
3,23,46.199999999999996,1
3,22,7.2,5
3,7,4.0,4
3,33,3.5,5
3,28,8.0,2
3,1,51.0,2
3,13,0.9,4
3,43,7.0,4
3,30,1.0,5
4,21,4.2,1
4,43,7.0,4
4,44,4.0,4
4,33,3.5,5
4,26,5.6000000000000005,5
4,40,3.6,5
4,37,4.0,5
4,38,5.3999999999999995,2
4,8,3.0,4
4,9,1.7999999999999998,4
4,28,8.0,2
5,12,2.7,3
5,9,1.7999999999999998,2
5,32,6.4,2
5,8,3.0,5
5,9,1.7999999999999998,3
5,32,6.4,5
5,22,7.2,5
5,11,30.599999999999998,1
5,31,1.2,5
5,41,60.0,4
5,38,5.3999999999999995,3
5,9,1.7999999999999998,3
6,37,4.0,1
6,15,55.3,1
6,28,8.0,1
6,13,0.9,5
6,23,46.199999999999996,1
6,30,1.0,2
6,36,6.6,1
6,22,7.2,3
6,28,8.0,4
6,21,4.2,2
6,4,0.6,2
6,42,5.4,4
7,22,7.2,5
7,38,5.3999999999999995,4
7,30,1.0,3
7,31,1.2,1
7,19,62.99999999999999,5
7,7,4.0,2
7,26,5.6000000000000005,4
7,10,39.9,3
7,24,3.2,4
7,31,1.2,2
7,26,5.6000000000000005,5
7,30,1.0,1
8,12,2.7,1
8,24,3.2,3
8,37,4.0,3
8,39,3.5,5
8,10,39.9,1
8,35,3.5,4
8,13,0.9,2
8,16,44.4,1
8,6,1.8,1
8,5,1.6,3
8,36,6.6,2
8,34,2.4,5
8,21,4.2,1
8,9,1.7999999999999998,3
8,41,60.0,5
8,23,46.199999999999996,2
9,40,3.6,1
9,9,1.7999999999999998,1
9,44,4.0,2
9,43,7.0,3
9,17,4.2,4
9,38,5.3999999999999995,4
9,10,39.9,2
9,7,4.0,4
9,15,55.3,3
9,26,5.6000000000000005,2
9,34,2.4,5
10,2,1.7999999999999998,2
10,2,1.7999999999999998,1
10,44,4.0,4
10,20,3.5,3
10,10,39.9,2
10,40,3.6,3
10,23,46.199999999999996,1
10,16,44.4,5
10,43,7.0,5
10,29,6.6,4
10,15,55.3,4
10,39,3.5,5
10,15,55.3,2
10,11,30.599999999999998,2
10,5,1.6,2
10,2,1.7999999999999998,3
11,32,6.4,4
11,21,4.2,3
11,9,1.7999999999999998,5
11,27,1.4,4
11,38,5.3999999999999995,2
11,44,4.0,4
11,33,3.5,5
11,8,3.0,1
11,9,1.7999999999999998,3
11,4,0.6,3
11,20,3.5,5
11,12,2.7,4
11,40,3.6,3
11,35,3.5,2
11,31,1.2,3
12,16,44.4,3
12,37,4.0,2
12,7,4.0,1
12,9,1.7999999999999998,5
12,31,1.2,3
12,23,46.199999999999996,3
12,11,30.599999999999998,1
12,4,0.6,5
12,14,1.4,5
12,45,7.2,1
12,28,8.0,2
13,36,6.6,4
13,6,1.8,5
13,3,6.3,4
13,17,4.2,3
13,29,6.6,4
13,10,39.9,1
13,14,1.4,5
13,35,3.5,4
13,40,3.6,5
14,24,3.2,1
14,29,6.6,4
14,42,5.4,3
14,28,8.0,3
14,13,0.9,5
14,13,0.9,2
14,6,1.8,1
14,22,7.2,4
14,18,2.4,4
14,26,5.6000000000000005,5
15,13,0.9,3
15,8,3.0,1
15,33,3.5,5
15,7,4.0,2
15,18,2.4,3
15,35,3.5,4
15,10,39.9,3
15,2,1.7999999999999998,2
15,45,7.2,5
15,32,6.4,4
15,32,6.4,4
15,21,4.2,3
15,42,5.4,4
15,9,1.7999999999999998,3
15,42,5.4,1
15,19,62.99999999999999,5
15,39,3.5,4
15,26,5.6000000000000005,5
15,33,3.5,2
16,34,2.4,4
16,41,60.0,1
16,22,7.2,2
16,42,5.4,1
16,27,1.4,3
16,2,1.7999999999999998,2
16,12,2.7,3
16,18,2.4,1
16,36,6.6,5
17,41,60.0,1
