DemandID,QuantitySold
2020-1,773
2020-2,619
2020-3,777
2020-4,663
2020-5,494
2020-6,334
2020-7,708
2020-8,512
2020-9,487
2020-10,544
2020-11,495
2020-12,766
2021-1,707
2021-2,635
2021-3,476
2021-4,629
2021-5,670
2021-6,730
2021-7,603
2021-8,885
2021-9,611
2021-10,544
2021-11,609
2021-12,642
2022-1,468
2022-2,563
2022-3,719
2022-4,683
2022-5,424
2022-6,606
2022-7,627
2022-8,532
2022-9,763
2022-10,547
2022-11,885
2022-12,714
2023-1,612
2023-2,692
2023-3,664
2023-4,779
2023-5,583
2023-6,487
2023-7,912
2023-8,897
2023-9,652
