ImportID,ShirtID,ImportPlacingDate
1,37,2020-09-02
1,38,2019-12-25
1,19,2021-03-21
2,19,2022-07-19
2,19,2021-11-13
2,10,2021-12-19
3,29,2023-05-03
4,9,2023-06-25
5,19,2023-01-27
5,22,2022-04-10
6,10,2020-05-28
7,32,2021-07-03
8,6,2023-02-21
8,8,2021-04-15
9,19,2021-06-20
9,32,2020-08-10
9,10,2020-11-13
9,35,2022-01-24
10,44,2020-07-26
10,14,2023-01-10
10,26,2020-07-18
11,30,2020-07-05
11,5,2022-09-26
12,37,2021-06-30
12,12,2023-05-26
12,6,2020-05-04
13,32,2020-08-15
13,36,2021-07-07
13,31,2022-10-26
14,18,2023-08-29
14,9,2023-03-02
14,4,2021-05-25
15,9,2022-01-18
15,10,2022-08-29
15,24,2021-02-17
15,40,2021-08-15
15,8,2021-07-20
15,36,2023-07-12
16,45,2020-06-18
16,28,2022-11-07
