InvoiceID,InvoiceDate,TotalAmount,CusID
1,2022-11-15,177.20000000000002,519
2,2021-08-03,125.0,972
3,2022-07-11,90.39999999999999,826
4,2022-11-18,93.0,914
5,2022-06-12,60.8,393
6,2023-04-03,125.39999999999999,466
7,2020-03-19,154.2,304
8,2022-01-29,67.9,540
9,2020-08-25,120.1,552
10,2023-03-06,107.3,781
11,2021-08-08,84.9,929
12,2020-12-31,146.9,197
13,2022-12-15,148.8,730
14,2020-08-23,68.30000000000001,411
15,2021-10-09,96.10000000000001,261
16,2020-03-08,111.2,972
17,2020-12-04,170.8,407
18,2023-02-22,130.7,975
19,2022-05-31,41.4,647
20,2022-01-18,81.1,269
21,2020-03-28,130.0,483
22,2023-07-29,77.1,407
23,2021-03-20,126.8,575
24,2021-12-18,72.10000000000001,940
25,2022-09-24,85.60000000000001,59
26,2023-08-27,120.4,543
27,2022-11-21,72.2,899
28,2020-01-15,125.3,277
29,2023-03-19,45.900000000000006,408
30,2021-10-03,112.70000000000002,589
31,2020-01-19,114.6,836
32,2021-11-12,63.400000000000006,296
33,2020-08-05,124.4,112
34,2021-06-02,75.60000000000001,466
35,2022-07-06,136.7,699
36,2020-12-01,102.7,310
37,2020-02-11,129.2,555
38,2021-07-28,138.4,699
39,2021-04-13,101.3,341
40,2021-04-04,95.3,646
41,2023-06-25,67.5,415
42,2021-11-11,134.4,866
43,2022-08-24,217.4,831
44,2020-07-05,161.5,164
45,2020-03-06,50.400000000000006,773
46,2020-01-11,104.6,977
47,2021-11-16,115.2,891
48,2021-09-13,43.1,474
49,2021-12-16,97.4,915
50,2022-05-14,51.9,457
51,2023-09-07,179.5,227
52,2020-01-06,69.80000000000001,192
53,2020-01-24,228.1,866
54,2022-11-02,157.8,137
55,2021-11-27,154.9,923
56,2023-05-04,73.2,907
57,2020-11-26,86.8,500
58,2022-05-18,82.2,288
59,2021-10-29,126.6,871
60,2023-08-06,83.0,23
61,2020-06-01,62.9,816
62,2022-07-20,85.0,269
63,2020-04-22,189.0,530
64,2022-04-16,88.0,811
65,2020-01-10,52.4,24
66,2022-10-01,71.8,90
67,2021-06-15,96.5,255
68,2021-08-04,188.7,321
