ShirtID,Color,Size,StockQty,UnitPrice,Discount,ShopID
1,blue,M,25,7,0.3,1
2,purple,S,75,9,0.2,1
3,brown,M,65,3,0.3,4
4,orange,XXL,55,6,0.5,1
5,orange,L,30,10,0.5,4
6,purple,L,60,6,0.4,1
7,blue,XL,85,7,0.1,5
8,brown,XXL,40,9,0.1,4
9,orange,XL,55,3,0.3,3
10,yellow,XL,90,2,0.2,1
11,red,L,80,2,0.1,5
12,black,L,45,11,0.4,2
13,orange,M,30,7,0.4,4
14,black,S,50,6,0.2,1
15,yellow,XXL,20,2,0.3,4
16,black,M,20,6,0.2,4
17,grey,XL,60,2,0.3,3
18,yellow,L,50,6,0.5,4
19,brown,S,20,7,0.2,2
20,white,XXL,75,3,0.4,2
21,brown,L,55,4,0.2,1
22,black,XL,60,5,0.4,3
23,orange,S,80,11,0.3,3
24,brown,XL,45,1,0.1,5
25,red,S,85,5,0.5,4
26,grey,S,65,3,0.3,4
27,white,XL,25,8,0.3,3
28,blue,S,20,9,0.2,3
29,grey,M,40,2,0.2,3
30,blue,XXL,85,9,0.4,5
31,white,S,30,5,0.5,4
32,white,L,80,5,0.4,2
33,purple,XXL,65,1,0.1,3
34,yellow,S,85,6,0.5,1
35,red,XXL,75,6,0.5,1
36,red,XL,85,8,0.4,3
37,white,M,50,7,0.3,3
38,purple,M,85,10,0.2,2
39,grey,L,25,4,0.5,2
40,blue,L,30,10,0.3,4
41,yellow,M,35,5,0.5,1
42,purple,XL,40,3,0.1,2
43,black,XXL,65,4,0.3,5
44,grey,XXL,20,4,0.1,5
45,red,M,85,3,0.2,3
