ShirtID,Color,Size,UnitPrice,Discount,ShopID,Recommended_Quantity_To_Import,Optinal_Backup_Quantity_To_Import
12,black,L,11,0.4,2,79,8
16,black,M,6,0.2,4,87,9
14,black,S,6,0.2,1,91,10
22,black,XL,5,0.4,3,86,9
43,black,XXL,4,0.3,5,83,9
40,blue,L,10,0.3,4,89,10
1,blue,M,7,0.3,1,95,10
28,blue,S,9,0.2,3,87,9
7,blue,XL,7,0.1,5,90,10
30,blue,XXL,9,0.4,5,80,9
21,brown,L,4,0.2,1,78,8
3,brown,M,3,0.3,4,106,12
19,brown,S,7,0.2,2,76,8
24,brown,XL,1,0.1,5,86,9
8,brown,XXL,9,0.1,4,79,8
39,grey,L,4,0.5,2,90,10
29,grey,M,2,0.2,3,70,7
26,grey,S,3,0.3,4,83,9
17,grey,XL,2,0.3,3,80,9
44,grey,XXL,4,0.1,5,89,10
5,orange,L,10,0.5,4,79,8
13,orange,M,7,0.4,4,81,9
23,orange,S,11,0.3,3,84,9
9,orange,XL,3,0.3,3,84,9
4,orange,XXL,6,0.5,1,77,8
6,purple,L,6,0.4,1,94,10
38,purple,M,10,0.2,2,84,9
2,purple,S,9,0.2,1,99,11
42,purple,XL,3,0.1,2,90,10
33,purple,XXL,1,0.1,3,91,10
11,red,L,2,0.1,5,86,9
45,red,M,3,0.2,3,94,10
25,red,S,5,0.5,4,78,8
36,red,XL,8,0.4,3,88,9
35,red,XXL,6,0.5,1,90,10
32,white,L,5,0.4,2,85,9
37,white,M,7,0.3,3,94,10
31,white,S,5,0.5,4,81,9
27,white,XL,8,0.3,3,86,9
20,white,XXL,3,0.4,2,86,9
18,yellow,L,6,0.5,4,74,8
41,yellow,M,5,0.5,1,84,9
34,yellow,S,6,0.5,1,93,10
10,yellow,XL,2,0.2,1,76,8
15,yellow,XXL,2,0.3,4,94,10
